trial_number,value,params
0,0.0443816263953106,{}
0,0.0443816263953106,{}
0,0.0357951172544096,"{'topK': 586, 'alpha': 0.6395292674518276, 'normalize_similarity': False}"
0,0.03681340418736322,"{'topK': 761, 'alpha': 0.9994357329180794, 'normalize_similarity': True}"
1,0.051583664987650706,"{'topK': 38, 'alpha': 0.515912483543026, 'normalize_similarity': True}"
2,0.03487726782859304,"{'topK': 916, 'alpha': 0.5015343317600793, 'normalize_similarity': True}"
3,0.030108244877311754,"{'topK': 319, 'alpha': 0.11273170640874987, 'normalize_similarity': False}"
4,0.03471701098942139,"{'topK': 841, 'alpha': 0.3425498562801091, 'normalize_similarity': True}"
5,0.04774825675173957,"{'topK': 88, 'alpha': 0.49246082671443375, 'normalize_similarity': True}"
6,0.04263536826788378,"{'topK': 79, 'alpha': 0.628112680182035, 'normalize_similarity': False}"
7,0.034325957760576,"{'topK': 748, 'alpha': 0.14034135405317977, 'normalize_similarity': True}"
8,0.047503269705662314,"{'topK': 5, 'alpha': 0.9973147561304996, 'normalize_similarity': True}"
9,0.03625847982328301,"{'topK': 889, 'alpha': 0.9747700861791226, 'normalize_similarity': True}"
10,0.03780916561393609,"{'topK': 408, 'alpha': 0.6875913739235026, 'normalize_similarity': False}"
11,0.042858949447583325,"{'topK': 205, 'alpha': 0.442439713673221, 'normalize_similarity': True}"
12,0.03767093133528771,"{'topK': 569, 'alpha': 0.7369362807351901, 'normalize_similarity': True}"
13,0.043448661829463366,"{'topK': 182, 'alpha': 0.3292026315277476, 'normalize_similarity': True}"
14,0.04239359405332706,"{'topK': 182, 'alpha': 0.80954482994547, 'normalize_similarity': False}"
15,0.03706686436564895,"{'topK': 543, 'alpha': 0.3569778077665753, 'normalize_similarity': True}"
16,0.03993032694380059,"{'topK': 342, 'alpha': 0.5621793905924642, 'normalize_similarity': True}"
17,0.049789877919091466,"{'topK': 55, 'alpha': 0.21943299546279804, 'normalize_similarity': True}"
18,0.03860375315818631,"{'topK': 10, 'alpha': 0.21519672501939519, 'normalize_similarity': False}"
19,0.04087304486767593,"{'topK': 270, 'alpha': 0.2515997404101562, 'normalize_similarity': True}"
20,0.03841369649815722,"{'topK': 435, 'alpha': 0.41041387516762, 'normalize_similarity': True}"
21,0.04682686328615486,"{'topK': 106, 'alpha': 0.52399815052092, 'normalize_similarity': True}"
22,0.047405606764586536,"{'topK': 95, 'alpha': 0.6069271579159076, 'normalize_similarity': True}"
23,0.045460956011974286,"{'topK': 126, 'alpha': 0.2318610601811144, 'normalize_similarity': True}"
24,0.041828498138987306,"{'topK': 244, 'alpha': 0.4838137209401103, 'normalize_similarity': True}"
25,0.05185599846015851,"{'topK': 9, 'alpha': 0.83997868142532, 'normalize_similarity': True}"
26,0.047375366447911335,"{'topK': 37, 'alpha': 0.8807345626408817, 'normalize_similarity': False}"
27,0.04483961156967094,"{'topK': 132, 'alpha': 0.8741105998969564, 'normalize_similarity': True}"
28,0.040737828264173,"{'topK': 293, 'alpha': 0.7266089308652676, 'normalize_similarity': True}"
29,0.03672631426108982,"{'topK': 670, 'alpha': 0.6433192011959961, 'normalize_similarity': True}"
30,0.039519666632763996,"{'topK': 377, 'alpha': 0.801357432885521, 'normalize_similarity': True}"
31,0.04967440891036978,"{'topK': 60, 'alpha': 0.5624739964164782, 'normalize_similarity': True}"
32,0.05088653184594996,"{'topK': 44, 'alpha': 0.5709051883116166, 'normalize_similarity': True}"
33,0.04413682335381502,"{'topK': 162, 'alpha': 0.29356943968453, 'normalize_similarity': True}"
34,0.033097177392013795,"{'topK': 999, 'alpha': 0.16113909139257887, 'normalize_similarity': True}"
35,0.041945639916636614,"{'topK': 237, 'alpha': 0.3838588386030308, 'normalize_similarity': True}"
36,0.04910115322920046,"{'topK': 5, 'alpha': 0.9302718670176411, 'normalize_similarity': False}"
37,0.04924961816261099,"{'topK': 56, 'alpha': 0.7917672556500941, 'normalize_similarity': True}"
38,0.04547395454172206,"{'topK': 134, 'alpha': 0.4788988031009468, 'normalize_similarity': True}"
39,0.04862526831213425,"{'topK': 74, 'alpha': 0.6068758452194087, 'normalize_similarity': True}"
40,0.036556475801500225,"{'topK': 209, 'alpha': 0.4380114014901668, 'normalize_similarity': False}"
41,0.049646194874456,"{'topK': 54, 'alpha': 0.6967577620583358, 'normalize_similarity': True}"
42,0.04881587921626797,"{'topK': 71, 'alpha': 0.560359404661803, 'normalize_similarity': True}"
43,0.044736107319499764,"{'topK': 150, 'alpha': 0.6508387683655006, 'normalize_similarity': True}"
44,0.05108250007136963,"{'topK': 6, 'alpha': 0.5817131128662602, 'normalize_similarity': True}"
45,0.05228024277006766,"{'topK': 26, 'alpha': 0.15931727406838098, 'normalize_similarity': True}"
46,0.05272170990885673,"{'topK': 10, 'alpha': 0.759743705304917, 'normalize_similarity': True}"
47,0.052770953995730084,"{'topK': 16, 'alpha': 0.83218258366692, 'normalize_similarity': True}"
48,0.046090588466724855,"{'topK': 107, 'alpha': 0.8405089498327297, 'normalize_similarity': True}"
49,0.03876446276014771,"{'topK': 638, 'alpha': 0.9400166074519962, 'normalize_similarity': False}"
50,0.04309476191368194,"{'topK': 192, 'alpha': 0.7457930328146386, 'normalize_similarity': True}"
51,0.05303183792251706,"{'topK': 18, 'alpha': 0.7659313361267492, 'normalize_similarity': True}"
52,0.05301792160021804,"{'topK': 11, 'alpha': 0.7604613840776064, 'normalize_similarity': True}"
53,0.05239992158059089,"{'topK': 20, 'alpha': 0.8499485831479091, 'normalize_similarity': True}"
54,0.04660497271825216,"{'topK': 91, 'alpha': 0.8997113730834299, 'normalize_similarity': True}"
55,0.05125237533187531,"{'topK': 34, 'alpha': 0.7664266124331739, 'normalize_similarity': True}"
56,0.03865724496295702,"{'topK': 455, 'alpha': 0.6999275559914342, 'normalize_similarity': True}"
57,0.04604552853252937,"{'topK': 107, 'alpha': 0.8471035508698018, 'normalize_similarity': True}"
58,0.044026214296418474,"{'topK': 161, 'alpha': 0.7746630924804506, 'normalize_similarity': True}"
59,0.036510047542322045,"{'topK': 832, 'alpha': 0.999791246263388, 'normalize_similarity': True}"
60,0.05101254152927478,"{'topK': 30, 'alpha': 0.9148767515314178, 'normalize_similarity': True}"
61,0.051947850201979354,"{'topK': 9, 'alpha': 0.8274116990016424, 'normalize_similarity': True}"
62,0.048139067986680224,"{'topK': 79, 'alpha': 0.6717146955687139, 'normalize_similarity': True}"
63,0.045638740123970574,"{'topK': 118, 'alpha': 0.8254792504214651, 'normalize_similarity': True}"
64,0.05082441412940888,"{'topK': 33, 'alpha': 0.8680555488165054, 'normalize_similarity': True}"
65,0.050787023283157304,"{'topK': 30, 'alpha': 0.9512363964267346, 'normalize_similarity': True}"
66,0.044371989015928426,"{'topK': 72, 'alpha': 0.7330853574417915, 'normalize_similarity': False}"
67,0.044734895119616806,"{'topK': 143, 'alpha': 0.768120690203777, 'normalize_similarity': True}"
68,0.04874819563991515,"{'topK': 5, 'alpha': 0.8084826991936538, 'normalize_similarity': True}"
69,0.04648116774437417,"{'topK': 96, 'alpha': 0.8926727174010887, 'normalize_similarity': True}"
70,0.04177960310323023,"{'topK': 237, 'alpha': 0.852730300789019, 'normalize_similarity': True}"
71,0.05084583560829737,"{'topK': 7, 'alpha': 0.8273061945527712, 'normalize_similarity': True}"
72,0.04959136150900521,"{'topK': 42, 'alpha': 0.9711790840331261, 'normalize_similarity': True}"
73,0.04852243763025131,"{'topK': 67, 'alpha': 0.1045284074181467, 'normalize_similarity': True}"
74,0.051830033740862626,"{'topK': 31, 'alpha': 0.7158578779699567, 'normalize_similarity': True}"
75,0.046628506346706705,"{'topK': 99, 'alpha': 0.7871569763466737, 'normalize_similarity': True}"
76,0.043373470866162715,"{'topK': 173, 'alpha': 0.8682564087647969, 'normalize_similarity': True}"
77,0.045329073794533624,"{'topK': 58, 'alpha': 0.749260949931077, 'normalize_similarity': False}"
78,0.04521404751198877,"{'topK': 122, 'alpha': 0.9080447906765556, 'normalize_similarity': True}"
79,0.05231966658815608,"{'topK': 22, 'alpha': 0.8179682451345236, 'normalize_similarity': True}"
80,0.04815092903355705,"{'topK': 79, 'alpha': 0.676484938123484, 'normalize_similarity': True}"
81,0.05150173611110934,"{'topK': 30, 'alpha': 0.8174414393789341, 'normalize_similarity': True}"
82,0.052623929873956,"{'topK': 20, 'alpha': 0.7929673780503645, 'normalize_similarity': True}"
83,0.04962653426365874,"{'topK': 50, 'alpha': 0.795737279895471, 'normalize_similarity': True}"
84,0.05286219908001982,"{'topK': 21, 'alpha': 0.7096054181329648, 'normalize_similarity': True}"
85,0.047691024635646825,"{'topK': 84, 'alpha': 0.7235320085132428, 'normalize_similarity': True}"
86,0.045131878871900684,"{'topK': 134, 'alpha': 0.7547711851111403, 'normalize_similarity': True}"
87,0.049352684147323175,"{'topK': 55, 'alpha': 0.780804929502573, 'normalize_similarity': True}"
88,0.052916344379851286,"{'topK': 25, 'alpha': 0.5212947111615371, 'normalize_similarity': True}"
89,0.040029103948982084,"{'topK': 334, 'alpha': 0.6245521060825733, 'normalize_similarity': True}"
90,0.040063949956105085,"{'topK': 108, 'alpha': 0.528532508477697, 'normalize_similarity': False}"
91,0.051721876962714027,"{'topK': 26, 'alpha': 0.8539109455448423, 'normalize_similarity': True}"
92,0.05009946507079873,"{'topK': 53, 'alpha': 0.3002161895971255, 'normalize_similarity': True}"
93,0.05239142949033448,"{'topK': 25, 'alpha': 0.7044437988225958, 'normalize_similarity': True}"
94,0.047815775281558635,"{'topK': 83, 'alpha': 0.7049634041332222, 'normalize_similarity': True}"
95,0.049438441434351,"{'topK': 5, 'alpha': 0.6586242463002381, 'normalize_similarity': True}"
96,0.049893945334801716,"{'topK': 49, 'alpha': 0.7543106032289832, 'normalize_similarity': True}"
97,0.05181991571920881,"{'topK': 27, 'alpha': 0.8028935011767226, 'normalize_similarity': True}"
98,0.03641771961894636,"{'topK': 722, 'alpha': 0.6301059279063971, 'normalize_similarity': True}"
99,0.049459763662282635,"{'topK': 63, 'alpha': 0.5364973246119944, 'normalize_similarity': True}"
100,0.044471964838841624,"{'topK': 155, 'alpha': 0.6804620341858638, 'normalize_similarity': True}"
101,0.05302241354237845,"{'topK': 19, 'alpha': 0.7305076851356598, 'normalize_similarity': True}"
102,0.03826358779048068,"{'topK': 508, 'alpha': 0.7723753157994627, 'normalize_similarity': True}"
103,0.052231002028732265,"{'topK': 32, 'alpha': 0.49853758286332467, 'normalize_similarity': True}"
104,0.05270246972065021,"{'topK': 22, 'alpha': 0.7348179928011389, 'normalize_similarity': True}"
105,0.047486035724989696,"{'topK': 89, 'alpha': 0.714438858903325, 'normalize_similarity': True}"
106,0.045865537480728004,"{'topK': 118, 'alpha': 0.7374907011751359, 'normalize_similarity': True}"
107,0.05085598708532985,"{'topK': 44, 'alpha': 0.5872513472491838, 'normalize_similarity': True}"
108,0.0539048593714289,"{'topK': 17, 'alpha': 0.4720013939578569, 'normalize_similarity': True}"
109,0.03978487522481858,"{'topK': 71, 'alpha': 0.44256048997364156, 'normalize_similarity': False}"
110,0.05410197623151251,"{'topK': 15, 'alpha': 0.459889422306058, 'normalize_similarity': True}"
111,0.05332859716690718,"{'topK': 9, 'alpha': 0.45677463682410496, 'normalize_similarity': True}"
112,0.05297588491706442,"{'topK': 8, 'alpha': 0.4229464557613433, 'normalize_similarity': True}"
113,0.05209446059223849,"{'topK': 7, 'alpha': 0.4727118359202679, 'normalize_similarity': True}"
114,0.05050988115757194,"{'topK': 50, 'alpha': 0.3957996881409673, 'normalize_similarity': True}"
115,0.05010994664089991,"{'topK': 5, 'alpha': 0.45584938707230294, 'normalize_similarity': True}"
116,0.0472335970509288,"{'topK': 97, 'alpha': 0.36668970039292675, 'normalize_similarity': True}"
117,0.04888162126548563,"{'topK': 73, 'alpha': 0.4134314280120391, 'normalize_similarity': True}"
118,0.04985732619261547,"{'topK': 59, 'alpha': 0.4660151330273636, 'normalize_similarity': True}"
119,0.05142518908979741,"{'topK': 39, 'alpha': 0.5159979793540205, 'normalize_similarity': True}"
120,0.05105288313991476,"{'topK': 44, 'alpha': 0.4285769689240103, 'normalize_similarity': True}"
121,0.05309373929427685,"{'topK': 23, 'alpha': 0.4891002511015995, 'normalize_similarity': True}"
122,0.049024221471035564,"{'topK': 69, 'alpha': 0.49254002956284393, 'normalize_similarity': True}"
123,0.03690219587722547,"{'topK': 614, 'alpha': 0.5418623897659811, 'normalize_similarity': True}"
124,0.05353426633692828,"{'topK': 20, 'alpha': 0.45378592147946634, 'normalize_similarity': True}"
