trial_number,value,params
0,0.007368440069373,"{'num_factors': 37, 'scaling_items': 0.9796677848762836, 'scaling_users': 0.6575941967652081}"
1,0.0063201949601033,"{'num_factors': 18, 'scaling_items': 0.32087240407423656, 'scaling_users': 0.8247434226141915}"
2,0.0086366910935538,"{'num_factors': 60, 'scaling_items': 0.8273727329103533, 'scaling_users': 0.9936653096828152}"
3,0.0050498563203009,"{'num_factors': 9, 'scaling_items': 0.23550461005839485, 'scaling_users': 0.6991908342180606}"
4,0.012951286292395,"{'num_factors': 84, 'scaling_items': 0.5183912472114742, 'scaling_users': 0.275159370609811}"
5,0.011725757786628,"{'num_factors': 94, 'scaling_items': 0.6930886167498136, 'scaling_users': 0.17635550462089877}"
6,0.0098231169528664,"{'num_factors': 72, 'scaling_items': 0.14384900982554638, 'scaling_users': 0.88233385623308}"
7,0.0106034948826655,"{'num_factors': 95, 'scaling_items': 0.7508903542789199, 'scaling_users': 0.830956195452679}"
8,0.0078578699540368,"{'num_factors': 37, 'scaling_items': 0.9226099587254706, 'scaling_users': 0.4417715973341554}"
9,0.0046100385316746,"{'num_factors': 9, 'scaling_items': 0.1856852815517971, 'scaling_users': 0.8352283824987405}"
10,0.0121758619889804,"{'num_factors': 75, 'scaling_items': 0.5008224791102274, 'scaling_users': 0.027235979763575585}"
11,0.0120893352282461,"{'num_factors': 78, 'scaling_items': 0.5159010381141852, 'scaling_users': 0.012306634180458968}"
12,0.0129211218079111,"{'num_factors': 77, 'scaling_items': 0.49111413905074713, 'scaling_users': 0.28984511956436976}"
13,0.0142701575346869,"{'num_factors': 84, 'scaling_items': 0.38766575247855595, 'scaling_users': 0.35602824752355827}"
14,0.0118636597418496,"{'num_factors': 56, 'scaling_items': 0.015860268128620958, 'scaling_users': 0.40142538670482175}"
15,0.0157333686622133,"{'num_factors': 100, 'scaling_items': 0.3691872062379116, 'scaling_users': 0.2494935328341731}"
16,0.013896929331535,"{'num_factors': 99, 'scaling_items': 0.364819087405834, 'scaling_users': 0.560516146756928}"
17,0.0149549645997491,"{'num_factors': 87, 'scaling_items': 0.3676744692060888, 'scaling_users': 0.14690577990748965}"
18,0.011159245594596,"{'num_factors': 65, 'scaling_items': 0.6028924883604789, 'scaling_users': 0.1550553696256462}"
19,0.0164825293782832,"{'num_factors': 89, 'scaling_items': 0.28228816094634335, 'scaling_users': 0.17803282189677477}"
20,0.0100699864215772,"{'num_factors': 45, 'scaling_items': 0.04045035517906054, 'scaling_users': 0.5099416459978388}"
21,0.017032286001556,"{'num_factors': 89, 'scaling_items': 0.23546524050364934, 'scaling_users': 0.15876826663442623}"
22,0.0171069729038199,"{'num_factors': 100, 'scaling_items': 0.25161895976611204, 'scaling_users': 0.2662106412383999}"
23,0.0168928975123475,"{'num_factors': 89, 'scaling_items': 0.25883870658155267, 'scaling_users': 0.08169796095769091}"
24,0.018713179010363,"{'num_factors': 90, 'scaling_items': 0.10689931005707964, 'scaling_users': 0.08042308617879021}"
25,0.0170588819123274,"{'num_factors': 66, 'scaling_items': 0.11038630428783724, 'scaling_users': 0.08914465462025445}"
26,0.0171264662377241,"{'num_factors': 68, 'scaling_items': 0.11013913473647521, 'scaling_users': 0.0694305241875151}"
27,0.0142742201328226,"{'num_factors': 49, 'scaling_items': 0.0783185347510546, 'scaling_users': 0.24010572265174746}"
28,0.0163579002869135,"{'num_factors': 69, 'scaling_items': 0.1942026648074996, 'scaling_users': 0.07558799858129467}"
29,0.015397401944516,"{'num_factors': 80, 'scaling_items': 0.001658125836078106, 'scaling_users': 0.31699824893772666}"
30,0.0113974657327711,"{'num_factors': 26, 'scaling_items': 0.1284943278251006, 'scaling_users': 0.21346604211839026}"
31,0.0169462053125357,"{'num_factors': 63, 'scaling_items': 0.10004845893394719, 'scaling_users': 0.07371472732848605}"
32,0.0165494457112882,"{'num_factors': 68, 'scaling_items': 0.1630011323651893, 'scaling_users': 0.09945155971527386}"
33,0.0169691233620247,"{'num_factors': 58, 'scaling_items': 0.0775339372749146, 'scaling_users': 0.03982442504581195}"
34,0.0124731130274354,"{'num_factors': 45, 'scaling_items': 0.3180413876802706, 'scaling_users': 0.11992502769684221}"
35,0.0147708362327997,"{'num_factors': 54, 'scaling_items': 0.19657311209278072, 'scaling_users': 0.0040479622759658496}"
36,0.012006223146483,"{'num_factors': 97, 'scaling_items': 0.0551450814852085, 'scaling_users': 0.6343123702927009}"
37,0.0161475529397911,"{'num_factors': 84, 'scaling_items': 0.13184232999249632, 'scaling_users': 0.33978097508551763}"
38,0.0158610321564179,"{'num_factors': 93, 'scaling_items': 0.23087414020966612, 'scaling_users': 0.39866389032607596}"
39,0.0134356499175662,"{'num_factors': 74, 'scaling_items': 0.41835184801053954, 'scaling_users': 0.19922925341283038}"
40,0.0158909903327341,"{'num_factors': 81, 'scaling_items': 0.2962259469963243, 'scaling_users': 0.11715706034596629}"
41,0.0171930502473022,"{'num_factors': 92, 'scaling_items': 0.23087831331363995, 'scaling_users': 0.1787729349801715}"
42,0.0177859988794678,"{'num_factors': 92, 'scaling_items': 0.10863572265961031, 'scaling_users': 0.2277299300980594}"
43,0.0172755066036457,"{'num_factors': 93, 'scaling_items': 0.17287455014770214, 'scaling_users': 0.26321334565961374}"
44,0.0102662657820174,"{'num_factors': 91, 'scaling_items': 0.17000758415216133, 'scaling_users': 0.9649671494490144}"
45,0.0172566444612167,"{'num_factors': 94, 'scaling_items': 0.20800871995004422, 'scaling_users': 0.21261151248112053}"
46,0.0168663082926517,"{'num_factors': 95, 'scaling_items': 0.20298361324310962, 'scaling_users': 0.31164031440997597}"
