trial_number,value,params
0,0.0186714646140229,{'alpha': 0.7318744299643303}
1,0.0205848033626665,{'alpha': 0.11050050720395999}
2,0.021439460039111,{'alpha': 0.5329290983845951}
3,0.0207778230540563,{'alpha': 0.6516867704870606}
4,0.0205246606286394,{'alpha': 0.08765115166075166}
5,0.0123433373836648,{'alpha': 0.9145432560970586}
6,0.0209493432040077,{'alpha': 0.29377045608781693}
7,0.0207400530468476,{'alpha': 0.19033528409474765}
8,0.0208996418936274,{'alpha': 0.641243704716556}
9,0.0181208381509077,{'alpha': 0.7459440023838658}
10,0.0209758521307947,{'alpha': 0.35314341173255104}
11,0.0210664927879119,{'alpha': 0.3591573312103686}
12,0.0214005168632945,{'alpha': 0.461859816106459}
13,0.0215575296459256,{'alpha': 0.4795844567887611}
14,0.0213502914186502,{'alpha': 0.5520991201109462}
15,0.0215453831131518,{'alpha': 0.4984839585202668}
16,0.0212486260991201,{'alpha': 0.4447039742708071}
17,0.0117413959457436,{'alpha': 0.942622541792713}
18,0.0208292595834042,{'alpha': 0.2749465435436111}
19,0.0166523856807412,{'alpha': 0.7800307276801759}
20,0.0204361131630404,{'alpha': 0.011524102205410891}
21,0.0213872863762555,{'alpha': 0.529364503422419}
22,0.0214952078515753,{'alpha': 0.5613045976670717}
23,0.0212114114511956,{'alpha': 0.618580810758441}
24,0.0212858808934989,{'alpha': 0.4291930856489896}
25,0.0213442750264069,{'alpha': 0.5883911937688688}
26,0.014364387953923,{'alpha': 0.8500433684090118}
27,0.0212264998269235,{'alpha': 0.4110564331647132}
28,0.0198753363380721,{'alpha': 0.6900277524355054}
29,0.0158194092047793,{'alpha': 0.8030874695561878}
30,0.0196577760113335,{'alpha': 0.7029419730228739}
31,0.0215384734623011,{'alpha': 0.4929918558402687}
32,0.0213582515683876,{'alpha': 0.49416951499957823}
33,0.0210726675356138,{'alpha': 0.37293051769748203}
34,0.0213847894898361,{'alpha': 0.5906901801095413}
35,0.0215376348474786,{'alpha': 0.5091577331090376}
36,0.0207353458750851,{'alpha': 0.2597029636492769}
37,0.0214332864065885,{'alpha': 0.508196595908895}
38,0.0208374427689985,{'alpha': 0.20153946338669293}
39,0.0214548082516125,{'alpha': 0.48911638911682515}
40,0.0206297417423199,{'alpha': 0.6536742553947015}
41,0.0214377103228126,{'alpha': 0.5530646824759238}
42,0.0213036122441327,{'alpha': 0.3858949050899738}
43,0.021429749057896,{'alpha': 0.5798836032732699}
44,0.0210582817228354,{'alpha': 0.32878286309233484}
45,0.0213850526721474,{'alpha': 0.4466289284742969}
46,0.0206542344249596,{'alpha': 0.6511344818300585}
47,0.0213991529990288,{'alpha': 0.494277617983588}
48,0.021472616549617,{'alpha': 0.5445254634881707}
49,0.0208567587893965,{'alpha': 0.30933133528156403}
50,0.0213341514288563,{'alpha': 0.4043747740767566}
51,0.0213028249275574,{'alpha': 0.4638883128597189}
52,0.0214094985172571,{'alpha': 0.5452017153355722}
53,0.0213907345106053,{'alpha': 0.6007139380990041}
54,0.021472413586987,{'alpha': 0.5248888258091617}
55,0.021447598617534,{'alpha': 0.4667097302794317}
56,0.021560327630752,{'alpha': 0.5580045348849356}
57,0.0204384048564715,{'alpha': 0.6713641484770808}
