user_id,item_list
0,3653 1425 2774 2753 2743 11542 14931 2746 9911 2768
1,572 13733 8685 471 21470 11875 9911 14154 4462 6981
2,21367 29963 22625 29656 18769 22692 22714 22594 13271 22576
3,19370 25140 4556 15550 6189 4137 13760 12632 7448 9115
4,3422 28624 5785 15729 9447 15318 12706 4726 3703 15694
5,23580 15198 19208 28806 2782 11500 11154 7213 28696 6927
6,3381 18304 8604 15503 3363 3057 3359 8505 15236 2584
7,15137 884 6874 620 638 496 675 2802 9866 15890
8,2916 2837 7780 3079 4937 627 211 7779 2917 8663
9,7034 11362 6185 269 49 2955 11753 13785 7054 7065
10,884 6874 8713 211 6919 14955 210 5354 1753 6840
11,13646 2205 4112 13147 16565 16514 13279 607 16564 2310
12,2861 2542 10131 9866 3365 7220 2 9747 2843 10110
13,929 2518 928 11161 12495 12481 2519 12477 5804 9744
14,2598 2566 4534 11466 10153 10087 15454 1396 3155 18624
15,3073 1054 15496 2960 21889 19125 9904 9747 2782 23215
16,9856 17636 4859 15215 310 22326 8569 798 8745 14950
17,496 53 15957 10043 14941 3023 2676 534 5741 418
18,19114 15890 6822 21614 3055 19213 6987 28705 14881 14874
20,3155 9622 5354 5741 4253 2626 3365 2882 8760 11544
21,269 9640 6167 6172 6169 15887 6179 6193 1122 39
22,12632 13736 15957 11607 2544 9836 14888 290 19184 17636
23,6987 451 28752 19114 11613 3653 14931 5062 1884 18831
24,11550 6987 8768 8669 11611 11510 6321 11756 14847 21614
25,15821 9622 5354 798 2910 8626 2591 13862 8587 1
26,14950 2836 13736 15059 14996 14167 2565 8660 3173 14972
27,6987 15890 2539 19114 21614 19213 11548 11542 15752 12738
28,4004 23715 1897 13811 13816 25334 11195 2094 24007 5610
29,11393 18304 6822 3074 3682 6981 3024 11447 7057 13738
30,16964 7948 1649 12477 91 7949 3867 12481 6952 5034
31,6193 5741 16893 13207 6163 16934 30433 1134 1700 7813
32,9640 1162 8796 11550 6896 3217 237 239 6692 240
33,884 11150 11152 2609 4489 14891 13679 15887 15104 2548
34,2045 11928 13532 23852 2169 17768 4340 23710 21185 4482
35,6987 19114 15745 13015 21614 8931 19213 2609 3055 12714
36,19114 6794 15088 31420 12714 13736 11919 12335 19044 26
37,1792 1788 1793 1810 12846 1812 1811 1791 10652 12893
38,6987 11607 244 17636 414 527 9747 2906 9742 28823
39,11699 15957 11542 21614 6965 6822 2548 14982 14931 11966
40,4056 2910 3839 3024 2622 2845 9434 3840 4367 15133
41,11150 7163 10043 7167 7199 7172 7165 7169 7164 10007
42,2935 399 15223 9812 2910 16967 6546 884 8468 16248
43,15452 17636 15902 452 15433 527 728 6 15435 10502
44,15580 3051 9119 7213 8720 17682 17636 39 5384 6852
45,17628 201 12702 4371 3408 3071 13693 3051 14953 8769
46,26153 26527 27117 25818 25192 27889 20735 20414 28385 28388
47,117 15104 2960 2837 2791 2836 471 2540 11962 13761
48,6474 6414 9637 16030 3405 1753 4276 13679 14779 3357
49,11962 11971 11990 9109 11960 11980 4827 4226 4826 3028
50,10386 4839 3629 10013 10165 4838 10149 10102 10072 19885
51,11152 4275 8799 7410 6474 15510 4225 6414 2892 7129
52,18828 18831 17728 18833 11150 17638 6373 6845 884 6853
53,2970 2988 2859 15185 3077 8692 2676 3777 2837 2
54,2098 1264 4112 11159 16557 1661 23590 2165 8536 927
55,6987 17686 4107 4367 7783 5359 18609 51 11560 8667
56,5054 99 6161 7480 10629 10593 4062 15754 17716 10470
57,6047 4635 6942 3215 8671 15043 5747 4579 9900 1282
58,2577 11549 10084 11740 9371 7195 11479 6935 11466 13762
59,53 5384 8588 29 171 2568 177 9998 5354 3693
60,3686 2664 2652 2568 2600 5384 4316 19112 3839 3048
61,28722 8724 5436 2577 5750 3434 14955 8589 15645 4255
62,21286 18342 4141 4371 3057 4489 8471 4932 2496 20978
63,3723 2625 9399 15645 3444 8591 5744 8678 2577 15268
66,5735 11161 5384 9399 2933 9371 8678 5436 8744 8588
67,64 4224 3822 8560 4117 5769 5730 4371 3192 9250
