user_id,item_list
0,531 9911 1425 3152 2827 8685 512 11542 2743 4462
1,13733 9911 13006 10086 120 6981 14748 11919 4462 14154
2,29963 21367 22714 17783 21973 29964 18536 22594 29656 15530
3,6189 11753 9115 15550 7448 25140 6185 16924 23023 25643
4,15729 28624 9812 28990 4348 13093 21292 3703 3472 15694
5,11500 19208 11501 21433 15754 21429 19209 15648 28637 14168
6,9742 3381 15503 8604 18304 15139 3363 3057 5372 18312
7,3076 496 884 12599 6874 2568 6944 15137 3447 2955
8,2837 211 627 186 4569 2916 7779 9828 150 9241
9,7036 3130 11753 7034 2944 7054 7065 6185 9913 13785
10,8593 5354 9919 8812 6874 9890 6919 496 227 884
11,4112 2205 13646 13279 16514 16565 2310 23272 16366 13252
12,2861 9747 496 2913 14155 3821 18580 9390 9531 3684
13,12472 6060 2519 12495 281 2496 11 8675 15219 15236
14,10178 5405 10002 10153 3345 29511 14169 9963 691 9424
15,4276 2916 3818 4569 3073 3658 4261 2960 29164 1054
16,310 4859 9856 15902 14950 17636 6835 9447 13684 22326
17,10043 11607 399 12612 14941 15957 13736 5460 7018 9828
18,6987 21615 19114 3055 19213 21614 14881 28705 11542 11919
20,3155 3393 15887 9622 884 190 21487 9376 1 10059
21,6167 6179 683 6169 232 269 17010 6162 7057 6164
22,12632 11607 14888 8659 17636 276 19184 13736 4859 290
23,451 19114 1884 5073 28752 11613 18169 5062 13755 6965
24,11550 8768 11510 6987 6874 6965 14779 11756 21614 8669
25,22387 798 9622 150 280 8587 311 5354 3074 4376
26,14950 3173 2960 15059 11920 14996 15223 11950 2662 2496
27,15890 6987 19114 4307 2539 19316 19213 21614 13755 15752
28,13811 23980 9300 2170 15449 17154 1897 10267 13816 17295
29,6981 3074 13738 13778 120 14748 15355 16945 13728 6977
30,16964 1649 6952 3867 5034 12477 7585 7949 17038 13880
31,8740 9153 6193 9376 1134 6192 14069 120 1700 6163
32,8796 239 3091 3217 237 3086 52 8876 9640 6692
33,4489 11152 4253 6875 15104 9425 8631 6433 21482 9904
34,28876 8648 4669 2150 13114 13520 4316 21279 17179 22471
35,19114 19213 5581 23157 21614 11478 12719 21615 6987 12714
36,19114 6060 17528 2669 11753 19681 3653 6794 15088 21616
37,1793 1792 1788 1791 1810 1811 1809 12930 10652 12946
38,244 11607 12632 18304 3352 28621 18572 31234 290 17630
39,15957 2548 14931 14888 11542 21615 11699 6965 6822 3055
40,4056 2910 2851 3840 18342 2998 2871 8545 2782 4367
41,7163 2574 10043 7199 10080 7172 7164 13841 7170 6968
42,399 15223 15104 23693 2960 2655 2669 2815 4226 4248
43,527 17636 15435 17628 15902 3845 15433 2782 12631 15452
44,15580 13684 7213 9870 3051 11944 9094 15505 13841 12632
45,17628 15139 12702 18312 23483 6731 2913 4142 8492 14953
46,25818 26527 25192 27889 20735 20414 22714 36875 21367 34344
47,2837 2836 14888 2791 15104 2540 2782 12010 6348 15133
48,6414 6474 14779 16030 11152 9637 3697 3405 231 9640
49,11962 9109 14740 4226 12612 4826 11960 6971 3925 11990
50,10386 10072 4839 10036 10013 10102 3570 5605 9992 3629
51,8799 6474 4276 4275 4225 9622 8824 7128 7129 15491
52,18831 17638 18833 6855 11150 6652 6854 11985 6842 6845
53,1054 2988 3079 2676 2970 3004 2 120 3077 2910
54,23276 1264 2098 2888 6881 11305 22951 8520 11180 15470
55,14748 14950 741 9968 14931 4367 15495 9631 8685 6987
56,99 7 7480 6161 10629 13751 17720 17717 5 10593
57,8588 5511 1254 4635 3448 4546 3215 20978 6942 4116
58,3671 3638 11740 8564 7207 9973 10084 9865 11466 8558
59,5384 745 9178 171 9410 177 2936 8588 15796 131
60,3686 2652 4137 5384 8589 9295 7048 3840 18490 8695
61,2577 8724 5436 28722 9446 15645 4371 2837 3353 8589
62,21286 18342 4371 4474 4141 3062 2496 3057 3670 14906
63,9399 8591 2625 8678 9371 6942 15645 15157 3840 5738
66,9371 5384 5735 2933 8591 11154 28722 5436 8610 2652
67,4117 3822 2577 64 9399 9240 4126 3192 53 8589
68,11151 3839 13510 14029 6918 8806 4397 4284 53 13727
69,9399 8588 4253 272 7232 8489 39 7172 7181 8681
70,29963 21363 426 4915 22613 15535 29964 4853 5636 22650
71,28954 2723 2719 1425 2753 4860 4145 21643 30632 2683
72,13659 6778 7849 8032 9715 9702 30274 36989 36337 25013
73,124 3506 6060 4425 3177 7121 22086 15318 4079 10467
74,11147 4275 115 17648 15451 15470 14891 22951 11170 7127
75,11306 7049 14138 232 7637 2002 48 3074 3063 3762
76,4313 2638 7604 6989 4830 7937 9354 11188 24279 13365
77,13252 10444 227 13279 4112 16565 54 29198 16507 2121
78,5365 15491 4467 15703 23720 17623 722 3041 671 2646
79,19063 18323 3902 9786 1383 4300 23406 3908 13213 14767
80,13249 4112 1690 21460 29525 21437 21440 18465 18559 9806
81,11150 10105 11152 3976 12620 8673 11154 5354 4280 13002
82,10012 6955 15617 6928 11715 6652 11456 15501 2572 5735
83,29391 29347 29348 29401 29287 7706 29289 29469 23209 23213
84,535 16040 18830 10735 17732 10586 6443 15451 15482 10569
85,9123 4008 6489 9128 2668 10365 2677 4937 9114 31516
86,10444 226 18821 54 551 9880 11179 14724 14106 228
87,26303 26527 26284 27117 27653 27600 27985 27021 28221 26526
88,2837 3074 583 515 399 3682 2496 6060 2676 117
89,228 18821 9890 3016 11186 10446 3019 17651 14724 9885
90,22951 3230 231 17648 7128 11909 4110 311 13194 4693
91,228 928 11188 3253 6365 15276 6881 1287 17647 16543
92,28793 385 28760 3500 18532 4666 29946 20786 30638 15108
93,1828 22724 11188 11194 16543 1494 1623 8816 29641 6436
94,10593 10691 10795 10550 7222 7481 10558 15082 7150 7221
95,1975 4062 10494 14135 1982 536 10495 4111 3778 3088
96,12544 3668 7661 30067 7662 7804 13258 1346 6321 7914
97,26303 27117 26284 8443 14193 26153 25958 19681 26526 10366
98,7019 7220 2662 23580 11315 2560 13712 4062 21433 16912
99,11152 2829 5384 2625 762 4566 9904 5436 9371 11161
100,23253 18217 23225 23190 9640 23126 23277 30158 23221 23213
101,3085 3074 5609 515 2892 116 4376 211 9622 272
102,4853 5458 4257 2115 5723 1174 18997 9308 11864 6281
103,12875 11084 12474 15490 7948 9971 3365 910 31292 10004
104,9765 13355 9518 18078 18323 660 15636 9584 14767 310
105,6652 2572 6678 6853 7783 2626 6841 6373 6843 6676
106,805 811 819 9087 15262 843 8604 15274 358 253
107,11501 19209 21443 19208 19108 21428 11502 28697 29030 23580
108,21920 3845 16545 39 11183 16544 21924 387 17657 488
109,15775 15457 5783 8593 15450 15821 2609 9248 9465 6349
110,5741 5797 3697 3723 61 5431 15821 3385 2908 4367
111,7677 4947 6503 13449 2362 7517 4979 23961 1311 11916
113,7472 18617 3645 2577 9490 4129 186 3444 9788 1173
114,7352 28722 5732 9387 6353 7780 9370 8589 8592 15237
115,14029 6705 7529 5054 14066 19885 16938 6703 7140 6704
116,4255 6790 2652 6799 5919 18700 29899 5797 29113 1898
117,18617 4117 21286 9446 1889 8702 3645 30132 7943 4319
118,6277 6226 1917 7925 6667 2138 6278 6628 6975 3547
119,11379 488 1117 11396 427 489 485 428 8760 4211
120,18144 5600 4829 21520 28654 22084 5882 5941 16674 1343
121,8215 9181 5527 15614 1557 15746 9178 1228 21467 6652
122,79 5796 8614 18662 21218 18613 2823 251 5422 4165
123,31528 31990 35403 6758 31729 31531 24340 31920 6753 10371
124,17862 21367 21385 21371 15539 21389 22714 17908 17825 17909
125,18931 19007 21321 21322 19031 19048 17562 15920 18970 18953
126,10470 6178 7035 7036 7064 13778 130 19137 7028 683
127,6380 11527 1075 2188 4660 3703 13385 2644 3624 18264
128,4150 23357 13385 13810 4226 3361 8901 9858 7092 7048
129,9622 3381 2791 3639 2583 15677 14843 5636 6948 15036
130,8026 8056 2346 21045 23793 2307 23013 30851 30785 2256
131,9297 4390 21200 8490 18271 5560 10234 576 13180 18066
132,12495 11383 11370 11868 11367 3668 17 12507 7661 22309
133,25079 24705 27392 21919 24894 5054 20356 21924 99 29237
134,23845 25640 27826 20945 35836 19967 23841 26206 20511 23844
135,21627 659 14150 21638 29444 4830 1130 21646 31440 21642
136,6619 7928 11195 6618 12481 16009 12477 6557 12489 22639
137,3829 18342 9631 4487 9390 9787 4265 698 5741 9779
139,16666 12060 18009 24633 29029 19676 30548 16883 26440 35360
140,21196 9535 17014 25079 2222 18273 23740 3204 3062 16980
141,243 15821 3412 4137 5741 15887 8610 15957 18596 21172
142,22533 6396 11470 5596 23364 5597 5528 5882 6514 1037
143,3381 2652 6358 7352 8720 4126 4117 3723 15629 13074
144,5460 5461 5373 25560 25413 19967 20376 7723 25412 5532
145,6474 9622 2583 4371 5938 3645 4811 5354 31507 9773
147,27340 25570 6547 30828 9356 17391 21924 2022 31583 29238
148,18413 10903 10872 23420 3605 18427 4695 10792 10754 10770
149,11383 5697 11359 10654 10620 5576 8195 18760 5532 5657
150,22608 11146 95 4692 8806 22675 4923 4588 22736 9635
151,11149 11147 19856 31528 31990 7066 627 31531 31695 14449
152,25563 30257 1589 11510 30569 13580 6532 31516 11483 6531
153,6274 370 369 24936 24997 1505 8967 371 25349 5536
154,4979 1311 1551 9299 15469 10243 9813 21522 4654 4330
155,34696 34694 22736 34695 3104 3105 11150 29235 8400 33683
156,7928 12215 12148 12142 10602 11329 10601 11343 10619 11320
158,2012 16379 16480 8862 4937 16312 16451 16331 16350 16397
159,20223 5666 1646 28233 24959 25280 12916 5667 33247 25088
