user_id,item_list
0,3653 3077 6822 15600 15239 2753 14989 572 7391 7434
1,3682 2782 13766 13733 11619 6348 1134 14932 14748 2538
2,22677 22658 15782 29038 15298 22714 29656 9505 2750 15534
3,16967 7139 14748 4137 11753 15925 25140 24533 16926 24753
4,3422 3532 15318 29058 5785 11753 949 21470 12782 3382
5,11154 28806 28810 3350 11979 23580 15648 21455 7213 28635
6,53 14748 6380 12639 6348 15236 15887 8505 18609 8630
7,8742 2847 8760 12835 805 618 12613 14999 2843 4481
8,18929 627 3841 19344 7780 211 186 2837 3835 4569
9,3932 7644 15187 7950 49 13991 5581 11753 360 3124
10,11815 11482 8592 9919 8661 54 8556 8812 3681 9880
11,13280 2205 4112 16493 16384 23986 2310 13149 2165 16296
12,58 3836 9747 18581 13732 11321 18580 3821 2861 9371
13,929 928 2518 12477 12472 12481 12495 11161 2519 4914
14,6813 10135 6811 3357 9187 10087 6277 10096 5448 4843
15,211 6365 18135 4657 1054 4261 15496 5469 20789 884
16,14950 3328 310 495 1224 4859 15223 15215 9856 22326
17,2782 3074 5741 2594 7018 12632 10021 3024 7086 18945
18,14888 21614 19213 6987 28705 14881 8571 15192 14931 9375
20,8720 8571 912 9748 5457 6682 745 8933 5800 4253
21,4276 17009 13754 6188 1122 17010 6206 16912 7291 6179
22,15957 17630 414 2544 11607 17636 276 15435 14888 19184
23,18831 3055 5069 23183 17538 19114 5064 6987 15482 449
24,8768 11611 11550 11560 11557 11756 7138 869 15284 9934
25,4276 22387 14779 9622 3024 22386 6408 6474 23989 1
26,14950 3173 8884 14963 14930 15770 5609 2565 9373 15223
27,21615 15890 21617 6987 21614 28794 19114 21616 531 9474
28,24844 25990 13811 4004 2351 31789 25334 13816 7523 557
29,11393 6981 11447 3074 3120 3058 2959 18609 13738 6772
30,13858 13881 13857 13880 7948 16964 16927 4855 6952 16965
31,16912 6211 16893 9747 399 7296 13893 675 9121 9153
32,1162 239 8796 14890 240 9639 14159 3086 3217 3091
33,11150 11152 884 4489 6874 6353 53 8632 11544 4253
34,28956 2223 30464 2169 29989 28578 9560 23370 5818 1315
35,12720 13015 19114 29000 19213 2643 2701 13755 1036 12719
36,28674 15890 5070 2737 23319 11919 0 13736 14888 16522
37,1793 1792 1788 12846 1809 12893 1811 1812 1810 12843
38,17636 414 28665 290 31234 276 28957 15250 15035 28736
39,14888 15957 21614 11966 14932 14931 11548 14982 6822 21615
40,3024 2910 3004 2979 2566 9759 3340 2994 3835 2851
41,7163 7167 11150 7172 7171 11152 10007 7169 7821 15690
42,3074 3353 496 3124 3130 3129 3128 9787 2655 9812
43,48 3074 452 10502 117 9924 2901 186 14924 6
44,4269 13845 4224 13684 13841 8904 6966 7213 6971 9167
45,2861 14748 15150 13738 18924 17628 8463 255 3117 3340
46,27117 26527 25818 26153 25192 27889 28385 26451 20735 20414
47,117 2836 4566 2791 2916 6927 2837 2910 2815 4232
48,4276 6414 4280 11151 6474 9637 1753 2591 8760 11152
49,15580 11990 24294 11960 15274 1075 9754 11962 238 4185
50,10386 10149 10165 5605 10036 5603 4839 10072 10102 9992
51,11152 7410 4276 7492 6474 6414 7493 3697 15703 4253
52,18831 18828 17728 18833 17638 8917 6845 8921 6853 18839
53,5581 2910 2975 201 2988 2857 2676 2 4701 1054
54,9139 22772 2290 14105 3004 13527 16564 30405 11185 9883
55,14748 954 4107 3381 9474 15215 2555 15890 4253 4134
56,5054 99 13563 4253 360 7480 13779 7 13751 7221
57,10169 5511 5920 10116 4313 10248 8671 3080 9371 4250
58,3670 3639 15869 3671 11740 11479 10515 6931 10016 11741
59,53 5354 6281 9178 3084 131 9173 29 2513 15445
60,393 9399 15137 2577 15107 4141 7013 7092 9295 884
61,6873 15645 2577 3697 3038 8724 2784 5436 28722 14955
62,4185 3670 4811 18342 4674 3849 21286 3057 8560 6593
63,9399 5735 2496 28724 3723 7234 8591 4195 15170 8610
66,9399 9371 8678 11154 5384 8588 11151 11161 11150 5735
67,9622 4811 4682 18053 15645 4126 30132 47 620 15170
68,6981 11172 15104 11326 2946 11154 11174 3777 9363 13785
69,7232 7168 8699 7172 10007 9997 3034 8589 7198 15583
70,4299 11197 22551 3023 22589 29308 427 4115 4915 7317
71,4038 2684 3919 16570 13122 22755 17185 4026 17768 22752
72,26434 30429 2022 25777 26744 30428 21022 7773 36337 36989
73,11753 452 5073 5070 9100 3053 28848 18838 3845 1052
74,4111 15451 115 18617 15470 11147 22951 5054 4914 6165
75,11306 2496 1753 4814 7049 3074 5249 21460 3762 232
76,4853 4915 29189 2638 4313 9356 11971 29350 3320 82
77,9880 15090 13252 13271 23848 54 16456 31125 4112 1873
78,22387 2896 13744 61 4280 664 15491 22386 13855 13741
79,4233 3902 965 9888 525 15287 23337 22288 28563 22575
80,28808 28806 23046 28809 1778 5713 17263 31115 30059 17651
