user_id,item_list
0,6822 512 2405 11966 1425 9316 186 2637 9911 3077
1,6348 8685 13766 9424 11149 15957 572 2934 3055 6981
2,29963 22616 22625 22589 13231 29656 21367 21966 12769 13252
3,16967 25079 27392 13760 23023 11753 26259 4311 25643 6189
4,3422 15318 9812 9447 949 5785 17624 4107 15902 28990
5,11154 186 28806 15754 2 11501 13511 11500 21455 14168
6,21144 8661 4636 15236 3363 15503 2891 3472 3455 8459
7,4137 2591 3077 15137 211 5349 5436 2892 3767 4375
8,627 21162 7780 2574 2905 211 2599 639 7801 13841
9,6185 11753 7034 49 3932 7054 6165 1139 12632 7030
10,4232 11482 4225 7138 3074 6874 11815 227 211 4839
11,13279 13252 23804 2165 16327 13149 2310 2205 1961 1492
12,116 5436 9399 2913 12463 307 8781 471 762 5730
13,929 12477 928 2518 12481 2519 11161 12495 4914 12472
14,10153 6822 5448 6348 6151 10002 5697 6277 186 10087
15,23276 19122 1054 4261 3073 11928 2704 884 15887 6905
16,14950 3767 22326 3363 9856 17630 4934 19293 884 15902
17,7018 7063 14941 17732 18945 31369 18826 5431 4253 9181
18,6987 3958 3388 19213 8571 21617 6970 2782 7942 28705
20,9622 4253 10365 17398 3365 2820 3155 1 9299 2572
21,4276 9640 4636 3845 269 454 452 232 13766 13778
22,4253 3653 14874 19184 2599 14748 11607 2959 15606 3697
23,6987 19114 2796 18831 3653 18832 17732 17733 15482 13045
24,11550 11611 8768 11756 6987 11557 4136 21614 4137 19389
25,22387 9622 2910 15104 3767 4914 15510 884 150 9748
26,13736 4062 3173 3159 2662 2570 11266 3077 3163 14888
27,15890 17536 19114 21614 2539 19213 11966 11919 13733 9747
28,13811 13816 4708 24093 23729 23426 1897 6934 4004 31789
29,11393 11447 3074 6981 884 2782 6348 2496 15355 3381
30,16964 1649 7948 3867 13858 12477 16965 91 13702 6952
31,399 11148 13069 9153 16893 7813 6211 4914 16956 7296
32,1162 3217 8796 9640 9639 11550 14159 7801 240 3090
33,11150 11152 884 4489 4111 10365 4253 6970 8632 9425
34,2697 21649 30338 4316 2759 82 22929 3947 4225 2755
35,12720 1054 17536 551 13015 1036 15911 8806 1 14947
36,29550 11919 31590 471 11966 11154 17528 618 2548 19114
37,1792 1810 10652 1788 12893 1793 11007 1812 12846 1809
38,17636 28771 414 23157 28971 14748 31234 2759 28736 4309
39,6822 3055 11966 6965 14982 12714 2548 21614 471 6380
40,15606 2782 3342 2622 3024 2496 2795 3858 3135 186
41,7167 7172 7163 11150 10007 10043 7175 7169 7199 11161
42,9812 471 11966 4934 8760 4226 5432 884 515 6348
