user_id,item_list
0,7547 572 7703 14888 6348 399 3146 14931 8505 4232
1,6348 14748 13766 13733 18647 3130 9812 572 2644 6546
2,22714 29964 29656 22589 13252 15542 4851 21367 21363 10198
3,25140 25643 25079 6827 9742 11753 11362 7803 6189 7448
4,9812 15902 17624 18647 8612 9447 18304 3057 3454 15729
5,14168 186 15754 21431 19209 5422 11500 14891 2 4253
6,4636 15887 8661 6348 3381 21144 18609 3336 8505 3532
7,5349 5436 3070 515 5360 3077 4224 583 4375 15137
8,627 211 21162 2837 186 3835 7780 2916 3844 399
9,49 12600 11753 4142 627 7054 399 24304 2565 15503
10,9919 8812 8593 11880 884 4253 4115 210 14955 227
11,4112 2205 9708 2310 16384 23272 16331 16514 24148 16355
12,18580 9747 8781 14737 15103 9371 3074 116 3821 7074
13,12472 12495 9744 2519 8628 12598 11415 7888 2591 11335
14,6865 7857 10153 6226 6151 5462 10225 4925 5405 6348
15,4261 31400 1054 25587 884 4230 3073 30151 29960 13736
16,310 15223 14950 22326 207 3363 4859 15734 4934 884
17,10578 7063 5464 7095 11973 2676 18826 15957 14941 10043
18,15114 3958 14931 6987 3873 19213 9375 28705 13736 8571
20,8933 3155 9622 7802 3365 884 190 4253 9376 6577
21,4636 6206 536 9640 17010 5609 6172 6179 6201 16912
22,12632 11607 14888 19293 884 2958 4253 19184 8659 13693
23,19114 5073 17733 6997 451 471 18831 28752 11753 4009
24,8768 7138 15957 11611 412 3412 12367 3697 5431 244
25,22387 9622 23989 6408 2591 798 3767 23720 150 884
26,3173 14950 13751 4062 3175 515 15223 8760 2662 3077
27,15890 21617 17536 11919 3055 3152 14888 2539 4408 21614
28,13811 13816 1897 23729 9203 23426 24452 23726 19751 24093
29,6981 3381 3058 3074 2496 1753 23693 884 15255 4284
30,13881 16964 13880 6952 1649 7573 12477 18295 91 7585
31,399 6204 4060 17093 7393 9153 3074 14779 11150 6405
32,239 9639 3086 3217 14159 8796 3091 9640 2936 3239
33,4489 11152 9425 4253 8631 15887 6405 677 6433 6321
34,22444 22355 4316 2150 3947 30338 5636 22945 30463 4055
35,13015 29000 1036 12157 2643 12100 12719 14947 19213 2591
36,29550 3055 2687 18970 14931 28600 21649 9863 17528 454
37,1793 1792 1788 12843 1809 1811 1791 1810 12946 10652
38,28971 28621 276 527 4309 31397 12643 31234 28736 19293
39,15957 14888 6822 14982 13693 3055 14931 11966 11699 21615
40,12598 13680 2910 186 3135 2823 2676 15887 116 15606
41,3 7172 7163 6968 11152 10092 10043 7227 13789 14872
42,3128 4934 884 9812 3130 2686 28981 4248 2655 3131
43,186 15902 14003 2782 6 15688 9924 15580 15433 11964
44,4224 12613 13684 13841 6966 8904 13842 7801 884 7269
45,3074 11753 4055 23693 2884 627 17628 9858 6380 9747
46,26527 25818 27889 25192 34344 20735 22692 21367 20414 1154
47,2836 186 2837 2791 2782 4299 2566 6348 4079 3697
48,9637 6414 612 9639 3357 6474 9640 11151 10570 6914
49,12519 11973 3670 11990 6971 4185 12612 11962 4827 9109
50,10386 5605 5603 4839 10036 10072 1649 5604 91 10102
51,6474 4276 7493 15491 1366 7128 4275 8661 8824 42
52,18831 18833 9929 11150 6845 6854 6373 648 8927 6853
53,3074 3064 1054 2676 2 2910 2988 884 120 12577
54,3085 5313 3106 5039 15470 2888 8520 8851 2565 18964
55,14748 4929 9622 244 15957 4367 15606 6822 4253 15731
56,99 7480 13751 17722 7 17717 10629 7221 6815 236
57,5511 3215 10248 10116 4224 488 4659 1254 8671 1117
58,12633 11479 9938 3671 3638 6935 9947 53 11570 10515
59,6281 15796 9261 131 13718 9178 5852 5720 12633 28735
60,6942 9446 4316 5384 7048 8658 9371 6989 8589 4375
61,2784 15645 3038 3697 9139 186 2577 8724 9446 4126
62,3670 18342 4371 30 21286 5920 8610 3057 4474 14748
63,8610 4195 7234 9399 2678 9900 2629 5436 15645 9864
66,7220 9371 53 11161 5384 11150 11899 11151 7300 6975
67,2577 4126 2591 31831 12633 7234 6321 4117 4224 2912
68,11174 13785 5 7308 11150 13703 3054 17722 15154 99
69,14891 7232 7164 3346 3037 39 7172 10271 7176 7218
70,22589 4764 4275 21265 4853 426 15517 6408 8760 22552
71,17768 1187 1188 5177 21643 3074 17778 2753 4013 22941
72,3317 13659 96 6778 7849 29245 12441 7850 33086 2040
73,12639 9812 4616 7121 4142 244 4009 3765 456 3846
74,115 14107 14891 3098 11147 6975 4275 15451 3107 11150
75,11306 7049 21460 22118 11686 360 3762 29032 19180 3074
76,4915 4313 7937 2638 4844 4692 29040 4298 22608 22696
77,13252 54 21123 2350 31096 10444 4112 15097 227 1474
78,9111 17648 4280 4062 15491 5690 722 9458 26 309
79,1718 22376 7063 7095 9786 3902 11544 5359 14853 19418
80,17263 18547 31115 21440 28806 28808 8898 31053 31139 17781
81,10105 489 3976 13009 4280 928 3959 8619 4225 15796
82,6652 10012 7186 15616 24355 3139 2899 6853 2572 6855
83,29391 29348 29347 29287 21378 7706 29396 23220 29383 5205
84,16040 535 15451 18830 22499 6443 22951 17728 10967 15402
85,9123 4008 32500 9128 2677 352 10365 6489 19509 4937
86,9880 551 10455 54 10444 10445 17509 11179 14106 22589
87,26284 26527 28130 27653 27117 27600 26303 26451 20414 11753
88,3074 399 450 2676 11150 2496 8812 13769 451 186
89,9890 18821 11150 11186 8898 3016 16304 228 9885 22669
90,22951 17648 4110 4693 22656 830 11909 6096 4275 232
91,928 21453 7129 11306 2524 11188 18495 13243 2525 4275
92,6060 7837 8731 15532 29914 13723 31259 28789 8614 7535
93,595 612 29332 7998 11188 8801 1828 8356 2121 6073
94,10691 10593 7237 10795 7222 10550 3934 7481 25713 23395
95,536 4062 4111 3063 14779 11172 14135 36 1975 406
96,31638 13154 30559 12544 3867 945 32666 7805 16536 33643
97,9363 10029 10185 10094 27889 8661 19681 25958 27117 10020
98,10619 13792 11298 11944 6977 4062 7220 3932 11445 4636
99,11152 8564 2591 11863 11161 9371 394 4280 4859 8666
100,23253 17532 13279 6822 23215 11307 9710 23277 10468 23225
101,3074 7423 211 515 3077 7448 7049 7422 3085 7059
102,4257 11864 11829 4853 11645 4601 4584 4915 387 9191
103,7948 15589 12221 6917 11382 7238 12315 11084 15812 10739
104,13355 4154 4300 2562 6542 14767 9765 660 7636 23693
105,6853 6652 6676 6678 6373 2626 2572 6955 7783 6679
106,811 819 9087 805 843 946 253 488 18304 485
107,21428 150 11501 19209 2357 11502 29030 21439 6822 19108
108,11183 13563 19504 21920 21919 15482 6394 17732 20382 9454
109,15457 2591 15775 3062 15821 15870 8353 21136 5636 15510
110,9641 53 3697 5741 6840 4224 14847 10531 6850 2598
111,6503 19687 4947 30150 6849 15349 18653 14120 6356 6378
113,4185 15496 6489 4316 6351 3444 2577 7472 6348 9622
114,2609 15611 5436 870 7230 8592 28735 4481 2676 6874
115,14066 19885 3230 14029 15653 5054 14032 24683 14065 6205
116,9622 2583 6790 4811 4141 2577 8584 5735 7656 94
117,18580 5511 4197 4141 2634 9297 6192 21286 13192 6193
118,6975 6059 6653 6277 5838 6628 8755 18617 1917 18059
119,1117 10578 11379 21429 10654 485 427 428 10613 3034
120,18144 15771 10538 29315 10576 11050 15465 10697 5647 31882
121,22730 22647 9190 11849 9214 9191 15796 22537 9669 15766
122,29626 3062 2823 12663 7542 9622 3480 14768 1099 21159
123,31528 31990 20908 31920 24340 11714 6753 31531 10371 9354
124,29963 17862 16679 17950 17952 29300 28605 17886 17953 17933
125,9659 618 26105 17555 19042 6348 17624 29747 21581 18413
126,11161 6178 6165 4636 9744 13754 903 9745 3140 7028
127,6380 1075 18647 3667 1579 23693 6822 2188 672 3540
128,99 3361 6731 3062 3141 515 6169 766 572 28722
129,14843 3639 13005 15803 4253 1322 2791 6348 3480 2002
130,23021 8026 29200 23669 23294 18391 23793 7238 29207 13628
131,3547 4316 1917 6489 1091 9297 6686 6730 4127 5560
132,17 11367 12495 11868 10620 7661 10614 12507 6474 3668
133,20356 25079 24705 24894 31657 21919 29237 27392 99 5054
134,20945 23845 35836 27826 36427 20121 25640 25301 28197 23844
135,25602 5545 21656 12719 21654 21638 29392 21622 8635 2780
136,7928 16009 13386 17065 12489 27903 12507 12481 8364 6561
137,18342 5741 18623 9390 8505 6512 15606 4316 4934 3829
139,24633 18009 30316 12060 35360 29029 25667 20246 15322 26357
140,17014 2443 30742 4831 4576 18273 2222 23740 18263 25079
141,8728 9163 243 3412 15457 15887 15821 10526 8724 5741
142,6057 11470 6055 20984 15775 3062 4662 23981 12157 29967
143,64 3697 6358 5436 1075 4117 471 4082 2604 4316
144,5373 24993 5460 24415 11401 25560 7723 20378 20305 19967
145,6474 9622 1 31507 5938 3412 6321 4811 31502 1228
147,27340 17391 25570 2022 9356 6618 3284 3102 21924 27893
148,10872 10903 18413 11078 3605 23420 12335 10792 12246 18427
149,11383 8195 11858 10654 10771 18753 8197 11359 15368 12288
150,11146 95 22608 26793 23744 4692 6851 11147 7213 24161
151,31990 11147 31528 5642 11149 31531 26396 31862 8619 8558
152,11146 25563 10365 20239 32865 11649 30569 2212 6531 30261
153,6274 24922 24936 26436 14120 370 369 21684 4074 11898
154,3488 64 6934 15469 5621 8513 14120 25586 4708 1311
155,22736 3104 34696 34695 11150 34694 3105 20217 14023 511
156,7928 12215 10602 12148 12217 11121 11343 11359 12142 7222
158,8862 16305 16413 16309 19535 82 9706 16399 2012 7869
159,1646 33247 31935 5666 25280 11618 13994 8924 26423 25124
160,32649 20277 25163 27381 26062 32108 36012 27962 19634 32705
161,27531 27110 27078 24416 26923 27208 26709 24412 24415 35272
162,24685 11101 33222 26723 11146 25563 23847 24824 20376 25640
163,9168 5448 6611 12086 3057 5404 12113 7474 4252 3697
164,32621 25979 30755 33823 19628 33459 33272 11128 26332 31883
165,25563 7473 7646 20939 99 23722 20969 3062 21287 15907
166,9675 15907 29298 3285 7799 17194 17423 17457 9248 17481
168,7127 15517 9622 5533 10372 303 3350 10415 10371 5531
170,14582 26263 35360 982 11574 20469 11837 11611 14549 33479
171,2782 13949 6408 6873 4299 5436 4137 9622 14064 16905
172,7078 7220 11356 9622 11379 3654 13698 634 311 11404
173,11148 4185 9248 16411 15457 7815 10137 4696 1039 17261
174,6934 23861 12673 12245 24312 4779 23170 19543 23420 12060
175,19630 19397 19401 30263 7730 17283 23729 24033 9224 23731
176,8011 30408 7865 7549 5883 14000 9223 2641 4601 9266
177,6166 13749 6165 16905 13735 23420 5426 11148 3062 11147
178,24932 30595 11588 23881 25720 11148 11147 11667 16915 24283
179,3045 4249 60 9168 8760 63 2568 8631 243 7456
180,13604 13358 31252 34111 3639 13602 4238 21287 15907 7786
181,29964 29970 16298 13252 22551 25683 29284 25678 23289 3062
182,1976 12036 17363 14 10477 23426 1978 7739 1039 15796
183,12915 15473 11062 11084 9935 9188 10024 10588 1430 587
184,8797 11150 6414 9677 7045 11151 95 7063 17 6474
185,15887 4944 17160 599 15833 12614 7217 15496 2583 3062
186,7792 25079 933 12127 30595 28146 4718 7799 4062 934
187,26 5444 42 18582 6934 21463 7679 7517 5533 9622
188,11859 4137 29270 11847 22031 3187 7297 17369 3377 8626
189,20343 24416 4298 21463 35 12246 25353 13812 26501 12176
190,5735 5741 13748 9399 2 620 4397 8692 15159 6321
191,23449 19540 18897 954 6532 956 24077 6529 18493 4313
192,15887 15821 11149 16964 3671 15868 6408 3638 16971 16965
193,489 387 1117 15887 3393 6497 428 3057 4165 486
194,11148 4185 15821 17457 15868 15957 5600 6321 5509 17217
195,8317 12331 17283 26479 34361 8319 7877 17273 1964 10942
196,5486 11152 5882 1889 4280 23420 2583 4601 5636 9124
197,12474 7948 12495 95 12502 99 12507 96 9167 15925
198,3187 15887 15564 5386 2609 5486 5528 21477 865 4824
199,6676 6261 7782 6378 7702 15757 6385 6678 21213 15457
200,11840 5508 653 12865 15887 1038 6611 6681 15757 6389
201,5439 15887 5474 438 18596 3393 2591 5414 3412 79
202,9123 9248 9622 5444 61 9127 9114 1 21520 17149
203,9622 30815 30672 4396 9261 37069 4137 29111 9446 4960
204,23979 23982 17319 35663 36267 25342 17320 17568 36163 1589
205,6440 22339 6721 17552 19034 6453 29620 6576 18968 29290
206,3671 3547 21280 1090 3820 1254 1498 3062 21134 1719
207,2179 12129 11649 9352 190 10213 1393 15833 9264 23686
208,15044 11539 15565 15821 5531 5699 348 8593 6528 15887
209,17647 3357 427 4489 2591 8683 17629 4110 6356 489
210,9264 2187 3062 10576 1038 5434 7739 13920 629 1209
211,26138 27357 11575 26447 11579 26444 28808 11611 25437 24405
212,9188 9985 9242 9944 10185 13775 9622 13762 10178 5658
213,9123 9222 15821 7304 7780 348 61 5544 13762 6230
214,9124 9123 2668 6532 6528 6374 9944 1147 10043 6378
215,9641 11146 95 11147 9640 11908 4601 11149 6489 14890
216,24813 1970 4367 32704 33043 675 33829 31731 3057 11924
217,10626 9622 16059 11370 7438 12909 11905 17098 12505 12961
218,3932 11769 19074 19431 15461 15819 15606 14872 14924 23714
219,13346 9622 13194 9248 21172 15496 3062 5472 15821 8876
220,25140 19740 4713 19738 2294 20254 25597 8038 9425 14305
221,4008 18413 4927 4844 901 12401 5975 1330 15198 4297
222,9985 9305 6752 2648 30475 10004 30439 9188 4839 4930
223,18413 15794 8915 53 8573 190 8806 6840 3393 3062
224,13905 14140 37357 16774 25844 25735 16720 17938 8806 20115
225,13727 6874 387 4636 5361 7049 4275 5370 7079 9622
226,9390 11597 10531 7311 7310 10139 17385 2793 5474 5414
227,4260 6405 4397 13845 1322 698 6927 4242 6875 12336
228,780 1397 2570 9137 13790 7827 5668 3074 4487 10263
229,30150 4298 9622 15469 2583 12060 9297 18413 3062 8083
230,4185 4141 21070 21192 15146 18275 3466 1560 7656 4713
231,2290 663 11966 496 3057 2676 14931 15457 8692 15165
232,3618 4316 5938 4665 21192 6375 5560 9297 4117 30
233,9635 15891 13287 1162 13261 22702 21920 3333 22666 3295
234,2591 4224 15957 2609 6321 18120 5749 21660 6874 15703
235,3670 6392 10090 22385 9622 6593 15496 15893 15898 5527
236,4480 9334 6275 7109 6531 9390 6681 11513 5632 9297
237,4840 6532 4915 1560 7727 24355 10225 3670 6530 7801
238,4914 11148 20280 25118 32797 32982 15912 27518 33123 37212
239,7607 7928 14833 35 16562 26501 30828 11007 11433 12246
240,14414 20344 26495 27709 27040 818 25392 23929 25426 96
241,6619 3335 13817 14847 13830 12199 4829 2782 3064 3536
242,3618 4224 1 6934 19092 1091 4082 25034 3576 1174
243,3670 6664 7461 7292 14891 6662 7114 8714 6656 6681
244,9173 9191 3697 11916 5689 15887 620 9622 5690 4230
245,3156 23184 2522 23195 20824 6165 23213 6731 23224 3357
246,27908 30169 24416 25189 19983 10892 25512 35850 33329 31971
247,8781 8699 4082 18623 8687 6512 2639 2577 9371 6935
248,11347 2677 15470 6474 6169 18830 17728 18828 6874 3349
249,11121 33371 3137 99 10306 6083 5062 10345 9856 30293
250,3184 10380 34344 4601 4298 25689 14937 6491 15807 3062
251,11154 11151 11161 11147 3110 14140 11152 11149 11560 6408
252,8492 6546 2637 9534 1368 9494 6348 14768 15088 2250
253,723 7948 12472 13862 5404 5993 12481 17663 11541 18783
254,7231 9943 18596 15821 3393 11939 15636 15887 8806 4929
255,9266 17406 412 6414 95 17360 18835 2626 17435 9178
